First Name,Last Name,Mailing Address,Mailing City,Mailing State,Mailing Zip,Property Address,Property City,Property State,Property Zip,Lead Type,Document Type,Date Filed,Document Number,Amount/Debt Owed,Seller Score,Motivated Seller Flags,Source,Public Records URL,Parcel Number,Appraised Value,Delinquent Taxes,Delinquent Amount,Homestead Exemption,Out-of-State Owner,Neighborhood,Violation Status,Violation Description,Violation Severity
,,,,OH,,2901 E 65Th St,Cleveland,OH,44127,Condemned Property,CONDEMN,08/08/2025,CONDEMN-125-14-001,,55,Condemned property; Address found,Cleveland Code Enforcement,https://aca-prod.accela.com/COC/,125-14-001,,No,,No,No,Broadway-Slavic Village,Condemned,,
,,,,OH,,2487 E 86Th St,Cleveland,OH,44104,Condemned Property,CONDEMN,08/08/2025,CONDEMN-126-05-047,,55,Condemned property; Address found,Cleveland Code Enforcement,https://aca-prod.accela.com/COC/,126-05-047,,No,,No,No,Fairfax,Condemned,,
,,,,OH,,9420 St Catherine Ave,Cleveland,OH,44104,Condemned Property,CONDEMN,08/07/2025,CONDEMN-127-22-040,,55,Condemned property; Address found,Cleveland Code Enforcement,https://aca-prod.accela.com/COC/,127-22-040,,No,,No,No,Kinsman,Condemned,,
,,,,OH,,2244 E 82,Cleveland,OH,44103,Condemned Property,CONDEMN,08/07/2025,CONDEMN-119-27-035,,55,Condemned property; Address found,Cleveland Code Enforcement,https://aca-prod.accela.com/COC/,119-27-035,,No,,No,No,Fairfax,Condemned,,
,,,,OH,,1184 E 146Th St,Cleveland,OH,44110,Condemned Property,CONDEMN,08/06/2025,CONDEMN-111-28-039,,55,Condemned property; Address found,Cleveland Code Enforcement,https://aca-prod.accela.com/COC/,111-28-039,,No,,No,No,Collinwood-Nottingham,Condemned,,
,,,,OH,,1135 E 60,Cleveland,OH,44103,Condemned Property,CONDEMN,08/05/2025,CONDEMN-104-13-050,,55,Condemned property; Address found,Cleveland Code Enforcement,https://aca-prod.accela.com/COC/,104-13-050,,No,,No,No,St.Clair-Superior,Condemned,,
,,,,OH,,4095 E 93,Cleveland,OH,44105,Condemned Property,CONDEMN,08/01/2025,CONDEMN-136-13-009,,55,Condemned property; Address found,Cleveland Code Enforcement,https://aca-prod.accela.com/COC/,136-13-009,,No,,No,No,Union-Miles,Condemned,,
,,,,OH,,723 E 156 St.,Cleveland,OH,44110,Condemned Property,CONDEMN,08/01/2025,CONDEMN-116-10-030,,55,Condemned property; Address found,Cleveland Code Enforcement,https://aca-prod.accela.com/COC/,116-10-030,,No,,No,No,Collinwood-Nottingham,Condemned,,
,,,,OH,,1293 W 76Th St,Cleveland,OH,44102,Condemned Property,CONDEMN,07/30/2025,CONDEMN-002-05-003,,55,Condemned property; Address found,Cleveland Code Enforcement,https://aca-prod.accela.com/COC/,002-05-003,,No,,No,No,Detroit Shoreway,Condemned,,
,,,,OH,,3886 E 147Th St,Cleveland,OH,44128,Condemned Property,CONDEMN,07/29/2025,CONDEMN-139-07-060,,55,Condemned property; Address found,Cleveland Code Enforcement,https://aca-prod.accela.com/COC/,139-07-060,,No,,No,No,Mount Pleasant,Condemned,,
,,,,OH,,2708 Woodbridge Ave,Cleveland,OH,44109,Condemned Property,CONDEMN,07/28/2025,CONDEMN-015-10-077,,55,Condemned property; Address found,Cleveland Code Enforcement,https://aca-prod.accela.com/COC/,015-10-077,,No,,No,No,Clark-Fulton,Condemned,,
